k,deepblocker,deepblocker_cssr,deepblocker_css,tsdae,tsdae_cssr,tsdae_css,simcse,simcse_cssr,simcse_css
5,0.9964,0.0022,13080,0.99462,0.0019,11470,0.98174,0.0019,11470
10,0.99778,0.0044,26160,0.99624,0.0038,22940,0.9874,0.0038,22940
15,0.9982,0.0065,39240,0.99748,0.0057,34410,0.99148,0.0057,34410
20,0.9983,0.0087,52320,0.99788,0.0076,45880,0.99302,0.0076,45880
25,0.9983,0.0109,65400,0.99824,0.0096,57350,0.9939,0.0096,57350
30,0.9985,0.0131,78480,0.99858,0.0115,68820,0.99452,0.0115,68820
35,0.9985,0.0153,91560,0.99904,0.0134,80290,0.99572,0.0134,80290
40,0.9986,0.0174,104640,0.9993,0.0153,91760,0.99624,0.0153,91760
45,0.9986,0.0196,117720,0.9993,0.0172,103230,0.99642,0.0172,103230
50,0.9986,0.0218,130800,0.9993,0.0191,114700,0.9965,0.0191,114700
55,0.9986,0.024,143880,0.9993,0.021,126170,0.99688,0.021,126170
60,0.9986,0.0262,156960,0.9995,0.0229,137640,0.99706,0.0229,137640
65,0.9986,0.0283,170040,0.9996,0.0248,149110,0.99748,0.0248,149110
70,0.9986,0.0305,183120,0.9996,0.0268,160580,0.99758,0.0268,160580
75,0.9986,0.0327,196200,0.9996,0.0287,172050,0.99794,0.0287,172050
80,0.9986,0.0349,209280,0.9996,0.0306,183520,0.99804,0.0306,183520
85,0.9987,0.0371,222360,0.9996,0.0325,194990,0.99812,0.0325,194990
90,0.9987,0.0392,235440,0.9996,0.0344,206460,0.99812,0.0344,206460
95,0.99886,0.0414,248520,0.9996,0.0363,217930,0.9983,0.0363,217930
100,0.99886,0.0436,261600,0.9996,0.0382,229400,0.9984,0.0382,229400
105,0.99886,0.0458,274680,0.9996,0.0401,240870,0.9985,0.0401,240870
110,0.99886,0.048,287760,0.9996,0.042,252340,0.9985,0.042,252340
115,0.99886,0.0501,300840,0.9996,0.044,263810,0.99858,0.044,263810
120,0.99894,0.0523,313920,0.9996,0.0459,275280,0.99876,0.0459,275280
125,0.99902,0.0545,327000,0.9996,0.0478,286750,0.99876,0.0478,286750
130,0.99902,0.0567,340080,0.9996,0.0497,298220,0.99876,0.0497,298220
135,0.99912,0.0588,353160,0.9996,0.0516,309690,0.99886,0.0516,309690
140,0.99912,0.061,366240,0.9996,0.0535,321160,0.99886,0.0535,321160
145,0.99912,0.0632,379320,0.9996,0.0554,332630,0.99906,0.0554,332630
150,0.99912,0.0654,392400,0.9996,0.0573,344100,0.99914,0.0573,344100
155,0.99912,0.0676,405480,0.9996,0.0593,355570,0.99914,0.0593,355570
160,0.99922,0.0697,418560,0.9996,0.0612,367040,0.99914,0.0612,367040
165,0.9993,0.0719,431640,0.9996,0.0631,378510,0.99914,0.0631,378510
170,0.9993,0.0741,444720,0.9996,0.065,389980,0.99914,0.065,389980
175,0.9993,0.0763,457800,0.9996,0.0669,401450,0.99914,0.0669,401450
180,0.9993,0.0785,470880,0.9996,0.0688,412920,0.99922,0.0688,412920
185,0.9993,0.0806,483960,0.9996,0.0707,424390,0.99922,0.0707,424390
190,0.9993,0.0828,497040,0.9996,0.0726,435860,0.99932,0.0726,435860
195,0.9993,0.085,510120,0.9996,0.0745,447330,0.99932,0.0745,447330
200,0.9993,0.0872,523200,0.9996,0.0765,458800,0.9996,0.0765,458800
