k,deepblocker,deepblocker_cssr,deepblocker_css,simcse,simcse_cssr,simcse_css,tsdae,tsdae_cssr,tsdae_css
5,0.8526,0.0002,12770,0.6185,0.0002,12770,0.94906,0.0002,12770
10,0.9079,0.0005,25540,0.68108,0.0005,25540,0.97152,0.0005,25540
15,0.92972,0.0007,38310,0.7156,0.0007,38310,0.97942,0.0007,38310
20,0.93928,0.0009,51080,0.73576,0.0009,51080,0.9842,0.0009,51080
25,0.94718,0.0011,63850,0.7547,0.0011,63850,0.98918,0.0011,63850
30,0.95406,0.0014,76620,0.7655,0.0014,76620,0.99148,0.0014,76620
35,0.95904,0.0016,89390,0.77546,0.0016,89390,0.99312,0.0016,89390
40,0.96218,0.0018,102160,0.78502,0.0018,102160,0.9944,0.0018,102160
45,0.96528,0.002,114930,0.7919,0.002,114930,0.99502,0.002,114930
50,0.9676,0.0023,127700,0.80084,0.0023,127700,0.99584,0.0023,127700
55,0.97048,0.0025,140470,0.80414,0.0025,140470,0.99626,0.0025,140470
60,0.97174,0.0027,153240,0.8104,0.0027,153240,0.99646,0.0027,153240
65,0.97296,0.0029,166010,0.81684,0.0029,166010,0.99728,0.0029,166010
70,0.9736,0.0032,178780,0.821,0.0032,178780,0.99728,0.0032,178780
75,0.97444,0.0034,191550,0.82514,0.0034,191550,0.9975,0.0034,191550
80,0.9765,0.0036,204320,0.82932,0.0036,204320,0.99772,0.0036,204320
85,0.97732,0.0039,217090,0.83222,0.0039,217090,0.99792,0.0039,217090
90,0.97794,0.0041,229860,0.83452,0.0041,229860,0.99814,0.0041,229860
95,0.97856,0.0043,242630,0.8372,0.0043,242630,0.99834,0.0043,242630
100,0.97856,0.0045,255400,0.84076,0.0045,255400,0.99834,0.0045,255400
105,0.97938,0.0048,268170,0.84344,0.0048,268170,0.99834,0.0048,268170
110,0.97982,0.005,280940,0.84614,0.005,280940,0.99856,0.005,280940
115,0.98044,0.0052,293710,0.84738,0.0052,293710,0.99876,0.0052,293710
120,0.98108,0.0054,306480,0.8501,0.0054,306480,0.99876,0.0054,306480
125,0.9817,0.0057,319250,0.8528,0.0057,319250,0.99898,0.0057,319250
130,0.98254,0.0059,332020,0.85508,0.0059,332020,0.99918,0.0059,332020
135,0.98254,0.0061,344790,0.85654,0.0061,344790,0.99938,0.0061,344790
140,0.98316,0.0063,357560,0.85986,0.0063,357560,0.9996,0.0063,357560
145,0.98316,0.0066,370330,0.86198,0.0066,370330,0.9996,0.0066,370330
150,0.98316,0.0068,383100,0.86488,0.0068,383100,0.9998,0.0068,383100
155,0.98378,0.007,395870,0.86676,0.007,395870,0.9998,0.007,395870
160,0.98398,0.0072,408640,0.8686,0.0072,408640,0.9998,0.0072,408640
165,0.98438,0.0075,421410,0.8717,0.0075,421410,1,0.0075,421410
170,0.98438,0.0077,434180,0.8736,0.0077,434180,1,0.0077,434180
175,0.9848,0.0079,446950,0.87486,0.0079,446950,1,0.0079,446950
180,0.98502,0.0082,459720,0.87548,0.0082,459720,1,0.0082,459720
185,0.98544,0.0084,472490,0.87734,0.0084,472490,1,0.0084,472490
190,0.98544,0.0086,485260,0.87836,0.0086,485260,1,0.0086,485260
195,0.98544,0.0088,498030,0.87964,0.0088,498030,1,0.0088,498030
200,0.98606,0.0091,510800,0.88028,0.0091,510800,1,0.0091,510800
