k,deepblocker,deepblocker_css,simcse,simcse_css,tsdae,tsdae_css
5,0.58364,5380,0.65576,5380,0.67824,5380
10,0.66746,10760,0.75612,10760,0.79814,10760
15,0.71656,16140,0.80576,16140,0.85188,16140
20,0.74498,21520,0.8422,21520,0.89256,21520
25,0.76804,26900,0.87008,26900,0.91764,26900
30,0.7857,32280,0.89276,32280,0.932,32280
35,0.7974,37660,0.90782,37660,0.94294,37660
40,0.80838,43040,0.91672,43040,0.95388,43040
45,0.81728,48420,0.92416,48420,0.95892,48420
50,0.82656,53800,0.93086,53800,0.96338,53800
55,0.83384,59180,0.93644,59180,0.96822,59180
60,0.84164,64560,0.94164,64560,0.97324,64560
65,0.84722,69940,0.9461,69940,0.97694,69940
70,0.85278,75320,0.95204,75320,0.97994,75320
75,0.85726,80700,0.95668,80700,0.98234,80700
80,0.86172,86080,0.95946,86080,0.98496,86080
85,0.86674,91460,0.9621,91460,0.9868,91460
90,0.87118,96840,0.96376,96840,0.98792,96840
95,0.87638,102220,0.96506,102220,0.98978,102220
100,0.88012,107600,0.96672,107600,0.99144,107600
105,0.8829,112980,0.96784,112980,0.99256,112980
110,0.8868,118360,0.96896,118360,0.9937,118360
115,0.88958,123740,0.97026,123740,0.99408,123740
120,0.8935,129120,0.971,129120,0.99462,129120
125,0.89776,134500,0.9723,134500,0.99534,134500
130,0.90038,139880,0.97454,139880,0.99572,139880
135,0.90428,145260,0.9753,145260,0.9959,145260
140,0.90652,150640,0.97548,150640,0.99626,150640
145,0.90874,156020,0.97566,156020,0.99646,156020
150,0.91078,161400,0.9764,161400,0.99646,161400
155,0.91228,166780,0.97676,166780,0.99684,166780
160,0.91358,172160,0.97734,172160,0.99702,172160
165,0.9158,177540,0.97752,177540,0.99702,177540
170,0.91784,182920,0.97788,182920,0.99702,182920
175,0.91934,188300,0.97824,188300,0.99702,188300
180,0.92084,193680,0.9786,193680,0.9972,193680
185,0.92342,199060,0.97954,199060,0.9972,199060
190,0.92754,204440,0.9799,204440,0.99738,204440
195,0.92936,209820,0.98064,209820,0.99758,209820
200,0.93142,215200,0.9812,215200,0.99758,215200
